                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6886,                 2.2017,                 1.4235,                0.48576,                0.41584,                0.39192,                0.22849,                 1.7525,                 3.3169,                 1.6027,                0.00062,                0.00062,                0.00062
                      2,                 1.7199,                 1.4093,                 1.4628,                0.00185,                0.21782,                0.00127,                0.00048,                 3.3978,                    inf,                 12.067,              0.0012351,              0.0012351,              0.0012351
                      3,                 1.6827,                 1.3571,                 1.4765,                0.00164,                0.21782,                0.00099,                0.00044,                  3.032,                    inf,                 3.0177,              0.0018248,              0.0018248,              0.0018248
                      4,                 1.6909,                 1.2038,                 1.4868,                 0.0005,                0.00495,                0.00012,                  6e-05,                 3.8258,                 9.9091,                 5.8439,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.7331,                 1.1388,                 1.4954,                 0.0247,                0.15347,                0.00867,                0.00381,                 2.4413,                 20.763,                 1.9562,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.6133,                 1.0344,                 1.4211,                 0.5745,                0.13366,                0.13682,                0.06483,                 2.5516,                 3.9711,                 2.7178,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.6372,                0.97958,                 1.4592,                0.48544,                0.16832,                0.15615,                0.06518,                 3.0051,                 3.3786,                 2.4458,               0.001802,               0.001802,               0.001802
                      8,                 1.5701,                 0.9195,                  1.421,                0.51716,                0.14317,                0.14659,                0.06725,                 2.9506,                 3.5832,                 4.2419,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.6004,                0.94005,                 1.4076,                0.81504,                0.61881,                0.72333,                0.38787,                  1.649,                 1.2046,                  1.494,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.5801,                0.94096,                 1.3885,                0.77622,                0.70297,                0.79199,                0.41344,                 1.6818,                  1.064,                 1.4764,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.5732,                0.93034,                 1.3845,                0.79531,                0.69307,                0.76925,                0.37089,                 1.7388,                 1.0518,                 1.5324,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.5335,                 0.8852,                  1.365,                0.80455,                0.73762,                0.81406,                0.43894,                 1.6634,                0.90899,                 1.4579,               0.001604,               0.001604,               0.001604
                     13,                 1.4894,                0.88038,                 1.3591,                 0.7559,                0.63366,                0.73616,                0.38238,                 1.7541,                 1.6933,                 1.5899,              0.0015644,              0.0015644,              0.0015644
